id,class,order,family,species,iucn,criteria,population,systems,realm
56051766,Reptilia,Squamata,Liolaemidae,Liolaemus boulengeri,LC,,Stable,Terrestrial,Neotropical
56051792,Reptilia,Squamata,Liolaemidae,Liolaemus buergeri,LC,,Stable,Terrestrial,Neotropical
56051812,Reptilia,Squamata,Liolaemidae,Liolaemus burmeisteri,DD,,Unknown,Terrestrial,Neotropical
56051827,Reptilia,Squamata,Liolaemidae,Liolaemus calchaqui,LC,,Stable,Terrestrial,Neotropical
56051847,Reptilia,Squamata,Liolaemidae,Liolaemus camarones,LC,,Unknown,Terrestrial,Neotropical
56051858,Reptilia,Squamata,Liolaemidae,Liolaemus canqueli,LC,,Stable,Terrestrial,Neotropical
56051878,Reptilia,Squamata,Liolaemidae,Liolaemus caparensis,LC,,Stable,Terrestrial,Neotropical
56051897,Reptilia,Squamata,Liolaemidae,Liolaemus carlosgarini,VU,D2,Stable,Terrestrial,Neotropical
56051911,Reptilia,Squamata,Liolaemidae,Liolaemus casamiquelai,LC,,Stable,Terrestrial,Neotropical
56051928,Reptilia,Squamata,Liolaemidae,Liolaemus cazianiae,LC,,Unknown,Terrestrial,Neotropical
56051939,Reptilia,Squamata,Liolaemidae,Liolaemus ceii,LC,,Stable,Terrestrial,Neotropical
56051955,Reptilia,Squamata,Liolaemidae,Liolaemus chacabucoense,LC,,Unknown,Terrestrial,Neotropical
56051966,Reptilia,Squamata,Liolaemidae,Liolaemus chacoensis,LC,,Decreasing,Terrestrial,Neotropical
56051982,Reptilia,Squamata,Liolaemidae,Liolaemus chehuachekenk,LC,,Unknown,Terrestrial,Neotropical
56052002,Reptilia,Squamata,Liolaemidae,Liolaemus chiliensis,LC,,Stable,Terrestrial,Neotropical
56052028,Reptilia,Squamata,Liolaemidae,Liolaemus chillanensis,LC,,Unknown,Terrestrial,Neotropical
56052041,Reptilia,Squamata,Liolaemidae,Liolaemus chlorostictus,LC,,Stable,Terrestrial,Neotropical
56052071,Reptilia,Squamata,Liolaemidae,Liolaemus choique,LC,,Stable,Terrestrial,Neotropical
56052108,Reptilia,Squamata,Liolaemidae,Liolaemus cinereus,DD,,Unknown,Terrestrial,Neotropical
56052125,Reptilia,Squamata,Liolaemidae,Liolaemus coeruleus,LC,,Stable,Terrestrial,Neotropical
56052207,Reptilia,Squamata,Liolaemidae,Liolaemus confusus,DD,,Decreasing,Terrestrial,Neotropical
56052310,Reptilia,Squamata,Liolaemidae,Liolaemus crepuscularis,LC,,Stable,Terrestrial,Neotropical
56052371,Reptilia,Squamata,Liolaemidae,Liolaemus cristiani,LC,,Stable,Terrestrial,Neotropical
56052403,Reptilia,Squamata,Liolaemidae,Liolaemus cuyanus,LC,,Stable,Terrestrial,Neotropical
56052426,Reptilia,Squamata,Liolaemidae,Liolaemus cuyumhue,CR,B1ab(iii)+2ab(iii),Unknown,Terrestrial,Neotropical
56052446,Reptilia,Squamata,Liolaemidae,Liolaemus cyaneinotatus,DD,,Unknown,Terrestrial,Neotropical
56052461,Reptilia,Squamata,Liolaemidae,Liolaemus cyanogaster,LC,,Stable,Terrestrial,Neotropical
56052691,Reptilia,Squamata,Liolaemidae,Liolaemus darwinii,LC,,Stable,Terrestrial,Neotropical
56053126,Reptilia,Squamata,Liolaemidae,Liolaemus diaguita,LC,,Stable,Terrestrial,Neotropical
